lineup,game,PlusMinus,Minutes,PMperMin
Danilo Gallinari_Emmanuel Mudiay_Jamal Murray_Jusuf Nurkic_Nikola Jokic,DEN @ DET,-13,10.0,-1.3
Danilo Gallinari_Emmanuel Mudiay_Jamal Murray_Jusuf Nurkic_Nikola Jokic,DEN @ MIN,2,8.0,0.25
Danilo Gallinari_Emmanuel Mudiay_Jusuf Nurkic_Nikola Jokic_Will Barton,DEN @ NOP,-5,14.0,-0.36
Danilo Gallinari_Emmanuel Mudiay_Jusuf Nurkic_Nikola Jokic_Will Barton,DEN @ TOR,-2,17.0,-0.12
Danilo Gallinari_Emmanuel Mudiay_Jusuf Nurkic_Nikola Jokic_Will Barton,POR @ DEN,5,13.0,0.38
